year,sector,trq_value,total_value,trq_share
2006,Plastics / Rubbers,659980.375,693117.655,0.9521909739840633
2006,"Raw Hides, Skins, Leather, & Furs",260944.54166666666,267388.0916666667,0.9759018811950956
2006,Stone / Glass,896106.3066666666,927946.2366666667,0.9656877427356414
2006,Textiles,2606804.525,2722499.79,0.9575040316164726
2006,Transportation,382847.0142857077,416667.7292857077,0.9188304910054379
2006,Unknown,52.0,52.0,1.0
2006,Vegetable Products,654938.759090909,693909.9457575758,0.9438382647418031
2006,Wood & Wood Products,626289.95,644769.94,0.9713386297134138
2007,Chemicals & Allied Industries,61848.49354312354,1773170578.5868342,3.48801713100919e-05
2007,Foodstuffs,5622442.320982895,386666276.61820084,0.014540813773978447
2007,Footwear / Headgear,19046.355454545454,92653071.31021819,0.00020556636909288228
2007,Machinery / Electrical,40856.816666666666,3231641817.422646,1.2642742907458565e-05
2007,Metals,56137.003281778714,1726475003.4372492,3.2515387231216916e-05
2007,Mineral Products,2420.3688461538463,1125431186.3135405,2.1506146938063805e-06
2007,Miscellaneous,34594.86409090909,556383665.0439352,6.217807290977402e-05
2007,Plastics / Rubbers,35569.54576923077,1065040867.6149248,3.3397352956873824e-05
2007,"Raw Hides, Skins, Leather, & Furs",15509.603106060606,154376693.30538365,0.0001004659626656204
2007,Stone / Glass,38399.82272727273,319081616.30001825,0.00012034482955347413
2007,Textiles,81703.23,713901081.1578318,0.0001144461496927426
2007,Transportation,21953.914761898097,1842850475.5299804,1.1913020103046846e-05
2007,Unknown,52.0,52.0,1.0
2007,Vegetable Products,50085.81166666667,117334191.95694345,0.0004268645893521471
2007,Wood & Wood Products,17324.695454545454,871794484.0088696,1.9872453625629033e-05
2008,Chemicals & Allied Industries,2377036.6335431235,2247004357.860929,0.0010578691693352927
2008,Foodstuffs,9191619.43515159,546758808.9773495,0.016811104428922644
2008,Footwear / Headgear,151234.81545454546,113969793.52932441,0.0013269727949066852
2008,Machinery / Electrical,2552220.723333333,3845026244.9805274,0.000663771990286183
2008,Metals,2203309.9045257983,2136968802.3727963,0.001031044487911728
2008,Mineral Products,371994.24384615384,1881182730.2627962,0.00019774487499903172
2008,Miscellaneous,1073495.949090909,636755463.6653776,0.001685884158592856
2008,Plastics / Rubbers,723313.5841025641,1318695682.2414136,0.0005485068267404451
2008,"Raw Hides, Skins, Leather, & Furs",173056.69727272727,181682324.2564897,0.0009525235764180053
2008,Stone / Glass,1230177.8343939395,387222211.1466779,0.003176929935788095
2008,Textiles,2503042.45,828994838.1254536,0.003019370368650244
2008,Transportation,440952.75190476194,2488684830.6807733,0.00017718304321569738
2008,Unknown,52.0,52.0,1.0
2008,Vegetable Products,1502809.0012121212,166364994.33990017,0.009033204414035163
2008,Wood & Wood Products,661169.4354545454,1087252140.4164972,0.0006081104933040362
